Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo_count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,154138,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,47.6,,1.9622,1,1,11,11,YES,0.4336,0.0338,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,154139,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,52.9,,2.7576,1,1,4,27,YES,0.591,0.1263,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,154140,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,2,34.4,,0.7781,1,1,6,4,YES,0.1749,0.0149,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,154141,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,51.7,,2.6668,1,1,10,19,YES,0.5994,0.0766,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,154142,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,2,46.2,,2.0013,1,1,8,15,YES,0.4408,0.055,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11,154143,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,48.4,,2.3022,1,1,5,13,YES,0.4985,0.0674,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,154145,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,51.5,,2.57,1,1,3,21,YES,0.6012,0.0663,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,154146,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,47,,2.0003,1,1,4,21,YES,0.4568,0.0826,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11,154147,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,2,47.5,,2.0406,1,1,8,12,YES,0.4635,0.0578,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,154148,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,53.2,,2.7933,1,1,1,,YES,0.4985,0.0291,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,154149,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,2,46.5,,1.9748,1,1,3,18,YES,0.4439,0.0741,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11,154150,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,50.6,,2.3732,1,1,9,11,YES,0.5551,0.0509,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11,154151,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,0,36.6,,0.8454,0,0,NA,NA,YES,0.2001,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11,154152,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,34.5,,0.8022,1,1,4,4,YES,0.1797,0.0156,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
